DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA,ESTRATO,PRODUCCION
ACHOMA,CAYLLOMA,2023,3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,812.0,14.778325123152708,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,812.0,24.630541871921185,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,812.0,24.630541871921185,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,6,23.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,812.0,29.556650246305416,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,7,8.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,812.0,11.083743842364532,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,812.0,20.935960591133004,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,812.0,14.778325123152708,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,812.0,12.315270935960593,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,11,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,812.0,20.935960591133004,NO MINERIA,0.0
ACHOMA,CAYLLOMA,2023,12,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,812.0,33.251231527093594,NO MINERIA,0.0
ALCA,LA UNION,2021,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1831.0,2.7307482250136537,NO MINERIA,0.0
ALCA,LA UNION,2021,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1831.0,2.1845985800109227,NO MINERIA,0.0
ALCA,LA UNION,2021,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1831.0,1.638448935008192,NO MINERIA,0.0
ALCA,LA UNION,2021,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1831.0,3.276897870016384,NO MINERIA,0.0
ALCA,LA UNION,2021,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1831.0,3.276897870016384,NO MINERIA,0.0
ALCA,LA UNION,2021,6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1831.0,1.638448935008192,NO MINERIA,0.0
ALCA,LA UNION,2021,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1831.0,1.0922992900054613,NO MINERIA,0.0
ALCA,LA UNION,2021,8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1831.0,6.553795740032768,NO MINERIA,0.0
ALCA,LA UNION,2021,9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1831.0,6.007646095030037,NO MINERIA,0.0
ALCA,LA UNION,2021,10,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1831.0,13.653741125068269,NO MINERIA,0.0
ALCA,LA UNION,2021,11,12.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1831.0,7.0999453850355,NO MINERIA,0.0
ALCA,LA UNION,2021,12,55.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,1831.0,30.584380120152925,NO MINERIA,0.0
ALCA,LA UNION,2022,1,22.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1813.0,12.686155543298401,NO MINERIA,0.0
ALCA,LA UNION,2022,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1813.0,6.618863761720904,NO MINERIA,0.0
ALCA,LA UNION,2022,3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1813.0,9.928295642581356,NO MINERIA,0.0
ALCA,LA UNION,2022,4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1813.0,6.067291781577496,NO MINERIA,0.0
ALCA,LA UNION,2022,5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1813.0,18.20187534473249,NO MINERIA,0.0
ALCA,LA UNION,2022,6,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1813.0,18.20187534473249,NO MINERIA,0.0
ALCA,LA UNION,2022,7,38.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1813.0,20.959735245449533,NO MINERIA,0.0
