DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas,TOTAL_CASOS,POBLACION,TASA_INCIDENCIA
ALCA,LA UNION,2022,8,24,0,0,0,0,0,0,24,1813.0,13.237727523441809
ALCA,LA UNION,2022,9,28,0,0,0,0,0,0,28,1813.0,15.444015444015445
ALCA,LA UNION,2022,10,27,0,0,0,0,0,0,27,1813.0,14.892443463872034
ALCA,LA UNION,2022,11,31,0,0,0,0,0,0,31,1813.0,17.098731384445667
ALCA,LA UNION,2022,12,41,1,1,0,0,0,0,43,1813.0,23.717595146166577
ALCA,LA UNION,2023,1,11,0,0,0,0,0,0,11,1795.0,6.128133704735376
ALCA,LA UNION,2023,2,15,0,0,0,0,0,0,15,1795.0,8.356545961002785
ALCA,LA UNION,2023,3,19,0,0,0,0,0,0,19,1795.0,10.584958217270195
ALCA,LA UNION,2023,4,33,0,1,0,0,0,0,34,1795.0,18.941504178272982
ALCA,LA UNION,2023,5,54,0,0,0,0,0,0,54,1795.0,30.08356545961003
ALCA,LA UNION,2023,6,37,0,0,0,0,0,0,37,1795.0,20.61281337047354
ALCA,LA UNION,2023,7,34,0,0,0,0,0,0,34,1795.0,18.941504178272982
ALCA,LA UNION,2023,8,30,0,0,0,0,0,0,30,1795.0,16.71309192200557
ALCA,LA UNION,2023,9,29,0,0,0,0,0,0,29,1795.0,16.15598885793872
ALCA,LA UNION,2023,10,37,0,0,0,0,0,0,37,1795.0,20.61281337047354
ALCA,LA UNION,2023,11,25,0,0,0,0,0,0,25,1795.0,13.927576601671309
ALCA,LA UNION,2023,12,21,0,0,0,0,0,0,21,1795.0,11.699164345403899
ALTO SELVA ALEGRE,AREQUIPA,2021,1,124,2,2,2,2,0,0,128,90180.0,1.419383455311599
ALTO SELVA ALEGRE,AREQUIPA,2021,2,64,0,13,0,9,0,0,77,90180.0,0.8538478598358838
ALTO SELVA ALEGRE,AREQUIPA,2021,3,79,0,9,0,6,0,0,88,90180.0,0.9758261255267244
ALTO SELVA ALEGRE,AREQUIPA,2021,4,116,1,8,1,5,0,1,125,90180.0,1.3861166555777333
ALTO SELVA ALEGRE,AREQUIPA,2021,5,133,3,5,1,1,0,0,141,90180.0,1.563539587491683
ALTO SELVA ALEGRE,AREQUIPA,2021,6,106,1,10,0,7,0,0,117,90180.0,1.2974051896207586
ALTO SELVA ALEGRE,AREQUIPA,2021,7,125,3,4,2,1,0,0,132,90180.0,1.4637391882900865
ALTO SELVA ALEGRE,AREQUIPA,2021,8,150,1,6,1,4,0,1,157,90180.0,1.7409625194056333
ALTO SELVA ALEGRE,AREQUIPA,2021,9,192,3,8,2,8,0,0,203,90180.0,2.251053448658239
ALTO SELVA ALEGRE,AREQUIPA,2021,10,155,1,4,1,2,0,0,160,90180.0,1.7742293191394987
ALTO SELVA ALEGRE,AREQUIPA,2021,11,153,3,7,2,5,0,0,163,90180.0,1.8074961188733643
ALTO SELVA ALEGRE,AREQUIPA,2021,12,389,3,10,2,7,0,2,402,90180.0,4.45775116433799
ALTO SELVA ALEGRE,AREQUIPA,2022,1,310,1,7,1,2,0,0,318,91755.0,3.4657511852215137
ALTO SELVA ALEGRE,AREQUIPA,2022,2,169,1,4,1,0,0,0,174,91755.0,1.8963544221023376
ALTO SELVA ALEGRE,AREQUIPA,2022,3,170,2,3,1,1,0,1,175,91755.0,1.9072530107351098
ALTO SELVA ALEGRE,AREQUIPA,2022,4,543,2,6,2,3,0,1,551,91755.0,6.005122336657403
ALTO SELVA ALEGRE,AREQUIPA,2022,5,733,9,7,6,7,0,2,749,91755.0,8.16304288594627
ALTO SELVA ALEGRE,AREQUIPA,2022,6,771,7,8,2,3,0,1,786,91755.0,8.566290665358837
ALTO SELVA ALEGRE,AREQUIPA,2022,7,832,6,11,2,4,0,2,849,91755.0,9.252901749223476
ALTO SELVA ALEGRE,AREQUIPA,2022,8,571,3,10,0,4,0,2,584,91755.0,6.364775761538881
ALTO SELVA ALEGRE,AREQUIPA,2022,9,604,1,5,1,2,0,1,610,91755.0,6.648139065990954
ALTO SELVA ALEGRE,AREQUIPA,2022,10,543,1,3,1,2,0,0,547,91755.0,5.961527982126315
ALTO SELVA ALEGRE,AREQUIPA,2022,11,538,2,11,0,6,0,0,551,91755.0,6.005122336657403
ALTO SELVA ALEGRE,AREQUIPA,2022,12,1168,7,9,3,4,0,0,1184,91755.0,12.903928941202114
ALTO SELVA ALEGRE,AREQUIPA,2023,1,308,1,3,0,2,0,1,312,93292.0,3.3443382069202077
ALTO SELVA ALEGRE,AREQUIPA,2023,2,270,1,6,1,3,0,1,277,93292.0,2.969172061913133
ALTO SELVA ALEGRE,AREQUIPA,2023,3,505,4,4,3,3,0,2,513,93292.0,5.498863782532264
ALTO SELVA ALEGRE,AREQUIPA,2023,4,857,13,7,8,4,0,0,877,93292.0,9.40059169060584
ALTO SELVA ALEGRE,AREQUIPA,2023,5,901,22,5,11,1,0,0,928,93292.0,9.94726235904472
ALTO SELVA ALEGRE,AREQUIPA,2023,6,910,35,5,21,1,0,2,950,93292.0,10.183081078763452
ALTO SELVA ALEGRE,AREQUIPA,2023,7,761,15,8,7,4,0,2,784,93292.0,8.40372164815847
ALTO SELVA ALEGRE,AREQUIPA,2023,8,592,8,4,4,2,0,0,604,93292.0,6.4742957595506585
ALTO SELVA ALEGRE,AREQUIPA,2023,9,524,4,0,2,0,0,0,528,93292.0,5.659649273249582
ALTO SELVA ALEGRE,AREQUIPA,2023,10,541,6,6,2,3,0,1,553,93292.0,5.9276250911117785
ALTO SELVA ALEGRE,AREQUIPA,2023,11,406,2,5,1,2,0,0,413,93292.0,4.42696051108348
ALTO SELVA ALEGRE,AREQUIPA,2023,12,1033,8,14,3,7,0,3,1055,93292.0,11.308579513784675
ANDAGUA,CASTILLA,2021,1,2,0,0,0,0,0,0,2,993.0,2.014098690835851
ANDAGUA,CASTILLA,2021,2,3,0,0,0,0,0,0,3,993.0,3.0211480362537766
ANDAGUA,CASTILLA,2021,3,0,0,0,0,0,0,0,0,993.0,0.0
ANDAGUA,CASTILLA,2021,4,3,0,0,0,0,0,0,3,993.0,3.0211480362537766
ANDAGUA,CASTILLA,2021,5,4,0,5,0,0,0,0,9,993.0,9.06344410876133
ANDAGUA,CASTILLA,2021,6,5,0,0,0,0,0,0,5,993.0,5.0352467270896275
ANDAGUA,CASTILLA,2021,7,7,0,5,0,0,0,0,12,993.0,12.084592145015106
ANDAGUA,CASTILLA,2021,8,4,0,0,0,0,0,0,4,993.0,4.028197381671702
ANDAGUA,CASTILLA,2021,9,3,2,0,1,0,0,0,5,993.0,5.0352467270896275
ANDAGUA,CASTILLA,2021,10,7,0,0,0,0,0,0,7,993.0,7.049345417925478
ANDAGUA,CASTILLA,2021,11,3,0,0,0,0,0,0,3,993.0,3.0211480362537766
ANDAGUA,CASTILLA,2021,12,6,0,0,0,0,0,0,6,993.0,6.042296072507553
ANDAGUA,CASTILLA,2022,1,8,0,0,0,0,0,0,8,977.0,8.18833162743091
ANDAGUA,CASTILLA,2022,2,4,0,0,0,0,0,0,4,977.0,4.094165813715455
ANDAGUA,CASTILLA,2022,3,1,0,0,0,0,0,0,1,977.0,1.0235414534288638
ANDAGUA,CASTILLA,2022,4,13,0,0,0,0,0,0,13,977.0,13.30603889457523
ANDAGUA,CASTILLA,2022,5,15,0,0,0,0,0,0,15,977.0,15.353121801432957
ANDAGUA,CASTILLA,2022,6,11,0,0,0,0,0,0,11,977.0,11.258955987717503
ANDAGUA,CASTILLA,2022,7,13,0,0,0,0,0,0,13,977.0,13.30603889457523
ANDAGUA,CASTILLA,2022,8,4,0,0,0,0,0,0,4,977.0,4.094165813715455
