DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ESTRATO,PRODUCCION
CALLALLI,CAYLLOMA,2024,5,RÉGIMEN GENERAL,3930.0
CALLALLI,CAYLLOMA,2024,6,RÉGIMEN GENERAL,2535.0
CALLALLI,CAYLLOMA,2024,7,RÉGIMEN GENERAL,16040.0
CALLALLI,CAYLLOMA,2024,8,RÉGIMEN GENERAL,22595.0
CALLALLI,CAYLLOMA,2024,9,RÉGIMEN GENERAL,3815.0
CALLALLI,CAYLLOMA,2024,10,RÉGIMEN GENERAL,22335.42
CALLALLI,CAYLLOMA,2024,11,RÉGIMEN GENERAL,0.0
CALLALLI,CAYLLOMA,2024,12,RÉGIMEN GENERAL,0.0
CERRO COLORADO,AREQUIPA,2021,1,PEQUEÑO PRODUCTOR MINERO,801.0
CERRO COLORADO,AREQUIPA,2021,1,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2021,2,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2021,2,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2021,3,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2021,3,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2021,4,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2021,4,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2021,5,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2021,5,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2021,6,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2021,6,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2021,7,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2021,7,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2021,8,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2021,8,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2021,9,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2021,9,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2021,10,PEQUEÑO PRODUCTOR MINERO,1286.0
CERRO COLORADO,AREQUIPA,2021,10,PRODUCTOR MINERO ARTESANAL,343.0
CERRO COLORADO,AREQUIPA,2021,11,PEQUEÑO PRODUCTOR MINERO,1280.0
CERRO COLORADO,AREQUIPA,2021,11,PRODUCTOR MINERO ARTESANAL,480.0
CERRO COLORADO,AREQUIPA,2021,12,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2021,12,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2022,1,PEQUEÑO PRODUCTOR MINERO,656.0
CERRO COLORADO,AREQUIPA,2022,1,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2022,1,RÉGIMEN GENERAL,573.0
CERRO COLORADO,AREQUIPA,2022,2,PEQUEÑO PRODUCTOR MINERO,527.0
CERRO COLORADO,AREQUIPA,2022,2,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2022,2,RÉGIMEN GENERAL,714.0
CERRO COLORADO,AREQUIPA,2022,3,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2022,3,PRODUCTOR MINERO ARTESANAL,59.5
CERRO COLORADO,AREQUIPA,2022,3,RÉGIMEN GENERAL,581.4
CERRO COLORADO,AREQUIPA,2022,4,PEQUEÑO PRODUCTOR MINERO,1047.0
CERRO COLORADO,AREQUIPA,2022,4,PRODUCTOR MINERO ARTESANAL,316.0
CERRO COLORADO,AREQUIPA,2022,4,RÉGIMEN GENERAL,305.0
CERRO COLORADO,AREQUIPA,2022,5,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2022,5,PRODUCTOR MINERO ARTESANAL,280.0
CERRO COLORADO,AREQUIPA,2022,5,RÉGIMEN GENERAL,0.0
CERRO COLORADO,AREQUIPA,2022,6,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2022,6,PRODUCTOR MINERO ARTESANAL,858.0
CERRO COLORADO,AREQUIPA,2022,6,RÉGIMEN GENERAL,783.0
CERRO COLORADO,AREQUIPA,2022,7,PEQUEÑO PRODUCTOR MINERO,2039.0
CERRO COLORADO,AREQUIPA,2022,7,PRODUCTOR MINERO ARTESANAL,318.0
CERRO COLORADO,AREQUIPA,2022,7,RÉGIMEN GENERAL,123.0
CERRO COLORADO,AREQUIPA,2022,8,PEQUEÑO PRODUCTOR MINERO,2979.0
CERRO COLORADO,AREQUIPA,2022,8,PRODUCTOR MINERO ARTESANAL,824.0
CERRO COLORADO,AREQUIPA,2022,8,RÉGIMEN GENERAL,153.0
CERRO COLORADO,AREQUIPA,2022,9,PEQUEÑO PRODUCTOR MINERO,4000.0
CERRO COLORADO,AREQUIPA,2022,9,PRODUCTOR MINERO ARTESANAL,2241.0
CERRO COLORADO,AREQUIPA,2022,9,RÉGIMEN GENERAL,220.0
CERRO COLORADO,AREQUIPA,2022,10,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2022,10,PRODUCTOR MINERO ARTESANAL,1200.0
CERRO COLORADO,AREQUIPA,2022,10,RÉGIMEN GENERAL,165.0
CERRO COLORADO,AREQUIPA,2022,11,PEQUEÑO PRODUCTOR MINERO,361.0
CERRO COLORADO,AREQUIPA,2022,11,PRODUCTOR MINERO ARTESANAL,1760.0
CERRO COLORADO,AREQUIPA,2022,11,RÉGIMEN GENERAL,348.0
CERRO COLORADO,AREQUIPA,2022,12,PEQUEÑO PRODUCTOR MINERO,0.0
CERRO COLORADO,AREQUIPA,2022,12,PRODUCTOR MINERO ARTESANAL,3046.0
CERRO COLORADO,AREQUIPA,2022,12,RÉGIMEN GENERAL,454.0
CERRO COLORADO,AREQUIPA,2023,1,PEQUEÑO PRODUCTOR MINERO,2260.0
CERRO COLORADO,AREQUIPA,2023,1,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2023,2,PEQUEÑO PRODUCTOR MINERO,1768.0
CERRO COLORADO,AREQUIPA,2023,2,PRODUCTOR MINERO ARTESANAL,0.0
CERRO COLORADO,AREQUIPA,2023,3,PEQUEÑO PRODUCTOR MINERO,2238.0
